,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,1,1,3,0,0,1.0,0,2
1,3,3,0,4,1,0,1.0,0,3
2,2,1,1,5,0,0,1.0,0,2
3,3,1,1,3,0,0,1.0,0,3
4,3,3,0,2,1,1,1.0,0,3
5,3,1,1,2,0,0,1.0,0,3
6,3,2,0,3,0,0,1.0,0,2
7,2,1,1,3,1,1,1.0,0,3
8,3,3,0,2,0,0,1.0,0,1
9,3,1,1,2,2,0,1.0,0,3
10,3,1,1,3,0,0,1.0,0,3
11,1,1,1,4,0,0,1.0,0,3
12,1,3,0,2,1,0,2.0,1,3
13,2,1,1,5,1,0,1.0,0,3
14,1,3,0,4,1,0,2.0,1,3
15,2,3,0,2,1,0,1.0,0,1
16,2,1,1,3,0,0,1.0,0,2
17,3,1,1,2,0,0,1.0,0,1
18,3,2,0,3,1,0,1.0,0,3
19,3,3,0,4,0,0,1.0,0,1
20,1,1,1,5,1,0,2.0,0,1
21,3,0,1,1,0,1,1.0,0,3
22,1,3,0,3,0,0,1.0,0,3
23,1,1,1,2,0,1,2.0,0,1
24,1,3,0,4,1,3,6.0,1,1
25,3,1,1,4,1,0,1.0,0,3
26,1,2,0,2,0,1,2.0,1,1
27,3,1,1,2,0,0,1.0,0,1
28,1,1,1,4,0,0,1.0,1,3
29,3,1,1,3,2,0,1.0,0,1
30,2,1,1,4,1,0,1.0,0,3
31,2,1,1,2,2,0,1.0,0,3
32,3,3,0,3,1,2,1.0,0,3
33,3,3,0,3,1,2,1.0,0,3
34,1,1,1,3,1,0,2.0,1,1
35,3,1,1,2,0,0,1.0,0,1
36,3,2,0,3,0,0,1.0,0,3
37,3,2,0,2,0,0,1.0,0,3
38,3,1,1,2,0,0,1.0,0,3
39,3,1,1,3,0,0,2.0,0,3
40,3,1,1,4,0,1,1.0,0,1
41,1,1,1,3,0,0,1.0,1,3
42,3,1,1,4,0,0,1.0,0,3
43,2,3,0,3,0,0,1.0,0,3
44,1,3,0,4,1,0,2.0,1,3
45,3,1,1,2,0,0,1.0,0,3
46,1,1,1,4,0,0,1.0,1,1
47,3,1,1,3,0,0,1.0,0,2
48,1,3,0,5,0,0,2.0,1,1
49,3,3,0,3,0,2,1.0,0,3
50,1,1,1,2,1,0,2.0,1,3
51,2,1,1,3,0,0,1.0,0,1
52,2,2,0,2,2,1,1.0,0,3
53,1,2,0,3,3,2,6.0,1,3
54,2,1,1,3,0,0,1.0,0,1
55,3,0,1,1,4,1,1.0,0,2
56,3,1,1,3,0,0,1.0,0,3
57,3,1,1,2,0,0,1.0,1,3
58,3,1,1,3,1,0,1.0,0,3
59,1,2,0,3,0,0,6.0,1,1
60,3,1,1,2,0,0,1.0,0,3
61,2,1,1,3,0,0,1.0,0,3
62,3,1,1,2,0,0,1.0,0,3
63,3,2,0,2,0,0,1.0,0,2
64,1,0,1,2,2,2,6.0,1,1
65,2,3,0,3,0,0,1.0,0,3
66,3,2,0,2,0,0,1.0,0,2
67,1,1,1,4,0,0,1.0,0,3
68,1,1,1,3,0,0,1.0,1,1
69,1,3,0,5,1,4,6.0,1,3
70,3,2,0,2,0,0,1.0,0,2
71,3,1,1,2,0,0,1.0,0,3
72,3,2,0,3,0,0,1.0,0,3
73,1,1,1,3,0,0,1.0,1,1
74,1,2,0,3,0,0,5.0,1,1
75,1,1,1,3,0,0,5.0,1,1
76,3,1,1,3,0,0,1.0,0,3
77,1,3,0,5,2,0,1.0,1,3
78,2,1,1,3,0,0,1.0,0,3
79,3,2,0,2,0,0,1.0,0,2
80,3,0,1,1,1,1,1.0,0,1
81,1,1,1,6,1,0,5.0,1,3
82,1,1,1,4,0,0,1.0,0,3
83,3,1,1,3,0,0,1.0,0,3
84,2,1,1,3,0,0,1.0,0,2
85,3,1,1,3,1,0,1.0,0,1
86,3,2,0,3,0,0,1.0,0,2
87,3,2,0,2,0,0,1.0,0,3
88,3,0,0,3,0,0,1.0,0,2
89,2,0,1,1,1,1,1.0,0,3
90,3,3,0,2,1,0,1.0,0,3
91,3,1,1,3,0,0,1.0,0,3
92,1,3,0,3,1,2,2.0,1,3
93,3,1,1,3,0,0,1.0,0,3
94,1,1,1,2,0,0,1.0,0,1
95,3,1,1,2,0,0,1.0,0,3
96,1,3,0,6,1,0,2.0,1,3
97,3,1,1,3,0,0,1.0,0,3
98,3,2,0,2,0,0,1.0,0,3
99,3,1,1,3,0,0,1.0,0,3
100,1,3,0,4,1,0,2.0,1,1
101,2,1,1,3,1,0,1.0,0,3
102,3,1,1,3,0,0,1.0,0,2
103,3,1,1,3,0,0,1.0,0,3
104,3,3,0,2,1,1,1.0,0,1
105,3,1,1,3,0,0,1.0,0,3
106,3,1,1,2,0,0,1.0,0,2
107,3,1,1,3,0,0,1.0,0,2
108,3,1,1,3,0,0,1.0,0,3
109,2,1,1,2,0,0,1.0,1,3
110,2,1,1,4,0,0,1.0,0,1
111,3,2,0,3,0,0,1.0,0,2
112,1,2,0,3,0,0,1.0,1,1
113,3,2,0,2,0,0,1.0,0,2
114,1,3,0,5,1,0,5.0,1,3
115,3,1,1,2,1,0,1.0,0,1
116,3,1,1,3,0,0,1.0,0,1
117,3,2,0,1,1,1,1.0,1,3
118,1,1,1,3,0,0,2.0,1,1
119,2,3,0,3,1,0,1.0,0,3
120,2,2,0,1,0,0,1.0,0,3
121,3,1,1,3,1,0,1.0,0,2
122,1,3,0,3,1,0,2.0,1,1
123,3,1,1,3,0,0,1.0,0,3
124,3,1,1,3,0,0,1.0,0,2
125,3,2,0,2,0,1,1.0,0,3
126,3,1,1,2,0,0,1.0,0,3
127,3,2,0,3,2,0,1.0,0,2
128,2,1,1,4,0,0,1.0,0,3
129,3,1,1,2,0,0,1.0,0,3
130,3,1,1,3,0,0,1.0,0,3
131,1,0,1,5,0,0,1.0,1,1
132,3,3,0,3,0,4,1.0,0,3
133,3,1,1,3,1,0,1.0,0,1
134,3,1,1,4,0,0,1.0,0,3
135,3,1,1,2,0,0,1.0,0,3
136,3,1,1,3,0,0,1.0,0,1
137,2,1,1,3,0,0,1.0,0,3
138,3,2,0,2,0,0,1.0,0,3
139,3,1,1,4,1,6,1.0,0,3
140,3,2,0,1,5,2,1.0,0,3
141,1,2,0,3,0,0,3.0,0,3
142,1,1,1,5,1,3,6.0,1,1
143,2,1,1,3,0,0,1.0,0,3
144,1,1,1,4,0,0,1.0,0,3
145,3,1,1,3,3,0,1.0,0,3
146,1,1,1,3,0,0,2.0,1,3
147,3,1,1,2,0,0,1.0,0,3
148,1,1,1,3,0,0,1.0,0,3
149,2,0,1,3,1,1,1.0,0,3
150,1,3,0,2,0,1,2.0,1,1
151,3,1,1,3,0,0,1.0,0,1
152,3,1,1,5,0,0,,0,3
153,3,3,0,3,0,2,1.0,0,3
154,3,0,1,2,4,2,1.0,0,3
155,3,1,1,2,0,0,1.0,0,3
156,1,2,0,3,0,0,5.0,1,3
157,3,2,0,2,0,0,1.0,0,3
158,1,1,1,4,0,0,1.0,1,3
159,3,3,0,3,0,2,1.0,0,3
160,3,2,0,3,0,0,1.0,0,2
161,3,0,1,1,1,1,1.0,0,1
162,2,2,0,3,0,0,1.0,0,3
163,3,1,1,3,0,0,1.0,0,3
164,2,0,1,4,0,0,1.0,0,3
165,3,3,0,3,1,1,1.0,0,3
166,1,1,1,4,0,0,1.0,1,1
167,3,1,1,2,2,2,1.0,0,3
168,1,3,0,3,0,0,1.0,0,1
169,3,2,0,2,0,0,1.0,0,3
170,3,1,1,3,0,0,1.0,0,3
171,3,1,1,3,0,0,1.0,0,1
172,3,1,1,2,1,0,1.0,0,3
173,3,1,1,3,0,0,1.0,0,1
174,3,1,1,4,1,5,1.0,0,3
175,2,2,0,2,0,2,1.0,0,3
176,2,2,0,2,0,0,1.0,0,3
177,1,1,1,5,1,0,2.0,1,1
178,2,3,0,3,0,3,1.0,1,3
179,1,3,0,6,0,2,2.0,1,1
180,2,1,1,3,0,0,1.0,0,3
181,1,1,1,3,1,1,2.0,1,1
182,1,3,0,2,1,0,2.0,1,3
183,3,1,1,3,0,0,1.0,0,2
184,1,3,0,3,1,1,5.0,1,1
185,2,1,1,4,0,0,1.0,0,3
186,2,2,0,2,0,1,1.0,0,3
187,3,1,1,2,2,0,1.0,0,3
188,3,2,0,3,8,2,2.0,0,3
189,2,1,1,4,0,0,1.0,0,3
190,2,1,1,3,1,0,1.0,0,3
191,1,1,1,3,0,0,1.0,0,3
192,3,0,1,1,1,1,1.0,0,3
193,2,1,1,5,0,0,1.0,0,2
194,2,0,1,1,0,2,1.0,0,3
195,3,1,1,3,0,0,1.0,0,3
196,1,0,1,1,0,2,3.0,1,1
197,3,2,0,2,0,0,1.0,0,3
198,2,1,1,2,0,0,1.0,0,3
199,3,3,0,3,0,0,1.0,0,3
200,3,2,0,3,0,0,1.0,0,2
201,3,0,1,1,0,2,1.0,0,3
202,1,0,1,4,1,0,5.0,1,1
203,2,2,0,1,1,1,1.0,0,3
204,2,1,1,2,0,0,1.0,0,3
205,1,1,1,3,0,0,1.0,0,1
206,3,2,0,3,0,0,1.0,0,2
207,2,1,1,2,0,0,1.0,0,3
208,1,2,0,3,0,0,1.0,1,1
209,3,1,1,2,0,0,1.0,0,3
210,3,1,1,3,0,0,1.0,0,3
211,3,1,1,3,0,0,1.0,0,3
212,2,1,1,2,0,0,2.0,0,3
213,2,3,0,5,1,0,1.0,0,3
214,3,2,0,3,4,2,1.0,0,3
215,1,1,1,4,0,0,1.0,1,3
216,3,2,0,3,0,0,1.0,0,2
217,1,1,1,5,1,1,4.0,0,3
218,1,3,0,4,1,1,5.0,1,1
219,3,1,1,3,0,0,1.0,0,3
220,2,2,0,3,1,0,1.0,0,1
221,3,1,1,2,0,0,1.0,0,3
222,2,3,0,2,0,0,1.0,1,3
223,3,1,1,2,0,0,1.0,0,3
224,1,3,0,5,0,0,1.0,0,1
225,3,3,0,3,0,2,1.0,0,1
226,3,1,1,2,0,0,1.0,0,3
227,3,2,0,3,0,0,1.0,0,2
228,3,1,1,4,0,0,1.0,0,3
229,2,1,1,3,0,0,1.0,0,3
230,2,1,1,2,0,0,2.0,0,3
231,1,2,0,2,0,0,1.0,0,3
232,3,1,1,2,1,0,1.0,0,3
233,3,1,1,3,0,0,1.0,0,2
234,1,1,1,4,1,0,2.0,1,1
235,3,1,1,2,0,0,1.0,0,3
236,1,1,1,6,1,0,2.0,1,1
237,3,1,1,2,0,0,1.0,0,1
238,2,2,0,2,1,1,1.0,0,3
239,1,3,0,4,1,0,3.0,1,1
240,1,3,0,5,0,0,1.0,0,1
241,2,3,0,4,0,2,1.0,0,3
242,1,1,1,4,1,1,3.0,1,1
243,3,1,1,3,0,0,1.0,0,3
244,3,0,1,3,1,2,1.0,0,3
245,1,1,1,4,1,0,2.0,1,3
246,2,3,0,2,0,0,1.0,0,3
247,2,1,1,4,1,1,1.0,0,3
248,2,3,0,3,1,0,1.0,0,3
249,3,3,0,3,1,0,1.0,0,1
250,2,2,0,1,1,2,1.0,0,3
251,3,1,1,2,0,0,1.0,0,3
252,1,1,1,3,1,0,3.0,1,1
253,3,1,1,2,0,0,1.0,0,3
254,3,1,1,3,0,0,1.0,0,3
255,3,1,1,3,0,0,1.0,0,3
256,3,1,1,3,0,0,1.0,0,2
257,3,1,1,3,0,0,1.0,0,3
258,2,2,0,2,0,0,1.0,0,3
259,3,1,1,2,0,0,1.0,0,3
260,3,1,1,3,1,0,1.0,0,3
261,3,1,1,2,0,0,1.0,0,3
262,2,3,0,3,0,2,1.0,0,3
263,3,2,0,1,1,1,1.0,0,3
264,2,1,1,3,0,0,1.0,0,1
265,3,1,1,3,0,0,1.0,0,3
266,1,1,1,3,0,0,1.0,0,3
267,3,1,1,3,0,0,1.0,0,3
268,3,2,0,3,0,0,1.0,0,3
269,3,1,1,2,0,0,1.0,0,3
270,1,1,1,4,0,0,2.0,1,1
271,3,1,1,3,0,0,1.0,0,2
272,1,3,0,3,1,0,3.0,1,1
273,3,2,0,3,1,0,1.0,0,2
274,3,1,1,3,0,0,1.0,0,1
275,2,2,0,2,1,0,1.0,0,3
276,2,1,1,3,0,0,1.0,0,3
277,2,1,1,4,1,0,1.0,0,3
278,2,1,1,3,1,0,1.0,0,3
279,2,1,1,2,0,0,1.0,0,3
280,3,2,0,2,0,0,1.0,0,3
281,3,0,1,1,1,1,1.0,0,3
282,3,2,0,3,0,0,1.0,0,2
283,3,2,0,1,1,1,1.0,0,1
284,3,2,0,1,1,1,1.0,0,3
285,3,1,1,3,0,0,1.0,0,3
286,3,1,1,3,0,0,1.0,0,3
287,1,1,1,2,1,0,2.0,1,3
288,3,1,1,3,0,0,1.0,1,1
289,3,1,1,3,0,0,1.0,0,3
290,1,1,1,3,0,0,1.0,0,3
291,3,2,0,3,0,0,1.0,0,2
292,3,1,1,3,0,0,1.0,0,1
293,1,0,1,5,1,1,2.0,1,3
294,3,1,1,3,0,0,1.0,0,3
295,3,1,1,3,0,0,1.0,0,3
296,2,2,0,1,1,2,1.0,0,1
297,3,1,1,3,2,0,1.0,0,1
298,1,1,1,3,0,0,1.0,0,3
299,3,1,1,3,0,0,1.0,0,3
300,3,1,1,3,0,0,1.0,0,3
301,2,1,1,3,0,0,1.0,1,1
302,2,1,1,4,0,1,1.0,0,3
303,3,1,1,2,0,0,1.0,0,3
304,3,2,0,3,0,0,1.0,0,2
305,1,3,0,6,1,1,1.0,1,3
306,1,1,1,3,1,2,3.0,1,3
307,3,0,1,1,0,1,1.0,0,3
308,1,1,1,5,1,1,2.0,1,3
309,3,3,0,4,1,0,1.0,0,3
310,3,1,1,2,0,0,1.0,0,3
311,3,1,1,2,0,0,1.0,0,1
312,3,1,1,3,0,0,1.0,0,3
313,3,2,0,3,0,0,1.0,0,2
314,1,3,0,5,0,0,3.0,1,1
315,3,2,0,2,0,0,1.0,0,2
316,1,1,1,5,1,0,3.0,1,1
317,2,1,1,2,0,0,1.0,0,3
318,3,1,1,3,0,0,1.0,0,3
319,2,1,1,2,2,0,1.0,0,3
320,3,1,1,3,0,0,1.0,0,3
321,3,1,1,2,0,0,1.0,1,1
322,2,1,1,3,0,0,1.0,1,3
323,1,1,1,3,0,0,1.0,0,3
324,1,2,0,4,0,0,5.0,0,3
325,3,1,1,2,0,0,1.0,0,3
326,2,2,0,1,2,1,1.0,1,3
327,1,1,1,4,0,0,2.0,0,1
328,2,1,1,3,1,0,1.0,0,3
329,2,1,1,2,0,0,1.0,0,3
330,2,3,0,4,0,2,1.0,0,3
331,1,1,1,4,0,0,1.0,1,1
332,3,1,1,3,0,0,1.0,0,1
333,3,3,0,2,1,1,1.0,0,1
334,3,1,1,3,0,0,1.0,0,3
335,1,1,1,3,0,0,1.0,1,3
336,2,1,1,3,0,0,1.0,0,3
337,3,1,1,4,0,2,1.0,0,1
338,2,1,1,2,0,0,1.0,0,3
339,3,0,1,3,0,0,1.0,0,1
340,2,1,1,2,0,0,1.0,0,3
341,3,1,1,3,0,0,1.0,0,3
342,3,1,1,3,1,9,2.0,0,3
343,1,3,0,5,0,1,10.0,1,1
344,3,0,1,3,1,1,1.0,0,3
345,3,2,0,2,0,0,1.0,0,3
346,2,1,1,3,0,0,1.0,0,3
347,3,3,0,3,0,0,1.0,0,1
348,2,1,1,2,0,0,1.0,0,3
349,2,2,0,3,0,0,1.0,0,3
350,1,3,0,4,0,1,2.0,1,1
351,2,1,1,2,0,0,1.0,0,3
352,2,1,1,2,0,0,2.0,0,3
353,2,1,1,4,1,2,2.0,0,3
354,3,2,0,1,1,2,1.0,0,3
355,1,1,1,4,0,0,1.0,1,3
356,1,3,0,5,2,0,2.0,1,3
357,3,1,1,3,0,0,1.0,0,3
358,3,1,1,3,0,0,1.0,0,2
359,3,3,0,3,1,0,1.0,0,3
360,3,0,1,2,8,2,2.0,0,3
361,2,3,0,2,1,1,1.0,0,1
362,2,3,0,3,0,0,1.0,0,3
363,3,1,1,3,0,0,1.0,0,3
364,1,3,0,2,1,0,2.0,1,1
365,3,3,0,3,1,9,2.0,0,3
366,3,1,1,3,1,0,1.0,0,1
367,3,2,0,2,0,0,1.0,0,3
368,1,3,0,4,0,1,2.0,0,1
369,2,1,1,3,0,0,1.0,0,1
370,2,1,1,2,1,0,1.0,0,3
371,1,2,0,3,0,0,3.0,1,1
372,1,1,1,4,0,0,1.0,1,3
373,2,1,1,4,0,0,1.0,0,3
374,1,3,0,5,1,1,2.0,1,3
375,1,2,0,4,0,0,6.0,0,1
376,3,2,0,2,2,0,1.0,0,3
377,2,1,1,2,0,0,1.0,0,3
378,1,1,1,5,0,0,1.0,1,3
379,3,0,1,1,4,2,1.0,0,3
380,3,1,1,3,0,0,1.0,0,2
381,3,1,1,3,0,0,1.0,0,2
382,3,3,0,3,0,0,1.0,0,3
383,3,3,0,2,1,0,1.0,0,3
384,2,1,1,3,0,0,1.0,0,3
385,2,2,0,2,1,2,2.0,0,3
386,3,1,1,2,0,0,1.0,0,3
387,2,1,1,5,0,0,1.0,0,3
388,3,1,1,2,0,0,1.0,0,2
389,3,0,1,1,3,1,1.0,0,3
390,1,1,1,2,0,0,2.0,1,3
391,1,3,0,5,0,1,1.0,1,3
392,3,0,1,2,0,2,1.0,0,3
393,2,1,1,4,0,0,1.0,0,3
394,3,1,1,3,3,1,1.0,0,3
395,1,3,0,2,1,0,2.0,1,3
396,3,1,1,2,0,0,1.0,0,2
397,1,3,0,4,1,1,2.0,1,1
398,3,1,1,2,0,0,1.0,0,3
399,3,1,1,3,0,0,1.0,0,2
400,1,2,0,3,0,0,4.0,1,3
401,2,1,1,3,1,0,1.0,0,3
402,1,2,0,2,0,1,2.0,0,1
403,1,1,1,2,0,0,1.0,0,3
404,1,1,1,4,1,0,1.0,1,1
405,2,1,1,2,0,0,1.0,1,1
406,2,1,1,2,1,0,1.0,0,3
407,1,1,1,4,1,1,5.0,1,1
408,3,2,0,3,0,0,1.0,0,2
409,3,2,0,1,1,1,1.0,0,3
410,3,2,0,3,0,0,1.0,0,2
411,1,3,0,3,1,0,2.0,1,2
412,3,2,0,3,0,0,1.0,0,3
413,3,1,1,3,0,0,1.0,0,3
414,1,0,0,4,0,0,3.0,1,1
415,3,1,1,4,0,0,1.0,0,3
416,3,1,1,3,0,0,1.0,0,3
417,3,0,1,3,1,1,1.0,0,1
